category,query_id,query_number,explain_row,id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra,explain_analyze,error
single_table_filters,Q011,11,1,1,SIMPLE,ORDERS,,ALL,"idx_orders_orderdate,idx_orders_totalprice",,,,148465,25.0,Using where,"-> Filter: ((orders.O_TOTALPRICE > 15000.00) and (orders.O_ORDERDATE > DATE'1996-01-01'))  (cost=15159 rows=37116) (actual time=0.0655..53.4 rows=56902 loops=1)
    -> Table scan on ORDERS  (cost=15159 rows=148465) (actual time=0.0646..43.1 rows=150000 loops=1)
",
single_table_filters,Q012,12,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,74232,100.0,Using where; Using index,"-> Filter: (orders.O_TOTALPRICE >= 30000.00)  (cost=14947 rows=74232) (actual time=1.9..39.8 rows=138434 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_totalprice over (30000.00 <= O_TOTALPRICE)  (cost=14947 rows=74232) (actual time=1.9..27.3 rows=138434 loops=1)
",
single_table_filters,Q013,13,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,5049,100.0,Using where; Using index,"-> Filter: (orders.O_TOTALPRICE <= 15000.00)  (cost=1018 rows=5049) (actual time=0.0366..0.882 rows=5049 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_totalprice over (O_TOTALPRICE <= 15000.00)  (cost=1018 rows=5049) (actual time=0.0364..0.619 rows=5049 loops=1)
",
single_table_filters,Q014,14,1,1,SIMPLE,ORDERS,,range,idx_orders_orderdate,idx_orders_orderdate,3,,42896,100.0,Using where; Using index,"-> Filter: (orders.O_ORDERDATE between '1994-01-01' and '1995-01-01')  (cost=8617 rows=42896) (actual time=0.246..6.13 rows=23018 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_orderdate over ('1994-01-01' <= O_ORDERDATE <= '1995-01-01')  (cost=8617 rows=42896) (actual time=0.245..2.61 rows=23018 loops=1)
",
single_table_filters,Q015,15,1,1,SIMPLE,ORDERS,,range,idx_orders_custkey,idx_orders_custkey,4,,4884,100.0,Using where; Using index,"-> Filter: (orders.O_CUSTKEY between 500 and 1000)  (cost=983 rows=4884) (actual time=0.0339..0.721 rows=4884 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_custkey over (500 <= O_CUSTKEY <= 1000)  (cost=983 rows=4884) (actual time=0.0336..0.536 rows=4884 loops=1)
",
single_table_filters,Q016,16,1,1,SIMPLE,ORDERS,,range,"idx_orders_custkey,idx_orders_totalprice",idx_orders_custkey,4,,4973,50.0,Using index condition; Using where,"-> Filter: (orders.O_TOTALPRICE > 20000.00)  (cost=2238 rows=2486) (actual time=0.384..6.69 rows=4733 loops=1)
    -> Index range scan on ORDERS using idx_orders_custkey over (O_CUSTKEY < 500), with index condition: (orders.O_CUSTKEY < 500)  (cost=2238 rows=4973) (actual time=0.384..6.4 rows=4973 loops=1)
",
single_table_filters,Q017,17,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,74232,100.0,Using where; Using index,"-> Filter: (orders.O_TOTALPRICE > 5000.00)  (cost=14947 rows=74232) (actual time=0.366..23.3 rows=148552 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_totalprice over (5000.00 < O_TOTALPRICE)  (cost=14947 rows=74232) (actual time=0.366..15.5 rows=148552 loops=1)
",
single_table_filters,Q018,18,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,74232,100.0,Using where; Using index,"-> Filter: (orders.O_TOTALPRICE > 15000.00)  (cost=14947 rows=74232) (actual time=0.358..22.2 rows=144951 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_totalprice over (15000.00 < O_TOTALPRICE)  (cost=14947 rows=74232) (actual time=0.357..15.1 rows=144951 loops=1)
",
single_table_filters,Q019,19,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,74232,100.0,Using where; Using index,"-> Filter: (orders.O_TOTALPRICE > 25000.00)  (cost=14947 rows=74232) (actual time=0.352..23.2 rows=140828 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_totalprice over (25000.00 < O_TOTALPRICE)  (cost=14947 rows=74232) (actual time=0.351..15.5 rows=140828 loops=1)
",
single_table_filters,Q020,20,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,74232,100.0,Using where; Using index,"-> Filter: (orders.O_TOTALPRICE > 35000.00)  (cost=14947 rows=74232) (actual time=0.352..21.1 rows=135819 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_totalprice over (35000.00 < O_TOTALPRICE)  (cost=14947 rows=74232) (actual time=0.351..14.1 rows=135819 loops=1)
",
single_table_filters,Q021,21,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,74232,100.0,Using where; Using index,"-> Filter: (orders.O_TOTALPRICE > 45000.00)  (cost=14947 rows=74232) (actual time=0.356..20 rows=130008 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_totalprice over (45000.00 < O_TOTALPRICE)  (cost=14947 rows=74232) (actual time=0.354..13.6 rows=130008 loops=1)
",
single_table_filters,Q022,22,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,74232,100.0,Using where; Using index,"-> Filter: (orders.O_TOTALPRICE > 55000.00)  (cost=14947 rows=74232) (actual time=0.35..18.8 rows=123858 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_totalprice over (55000.00 < O_TOTALPRICE)  (cost=14947 rows=74232) (actual time=0.35..12.7 rows=123858 loops=1)
",
single_table_filters,Q023,23,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,3601,100.0,Using where; Using index,"-> Filter: (orders.O_TOTALPRICE between 5000 and 15000)  (cost=726 rows=3601) (actual time=0.032..0.647 rows=3601 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_totalprice over (5000.00 <= O_TOTALPRICE <= 15000.00)  (cost=726 rows=3601) (actual time=0.0317..0.431 rows=3601 loops=1)
",
single_table_filters,Q024,24,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,6517,100.0,Using where; Using index,"-> Filter: (orders.O_TOTALPRICE between 15000 and 30000)  (cost=1313 rows=6517) (actual time=0.0442..1.1 rows=6517 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_totalprice over (15000.00 <= O_TOTALPRICE <= 30000.00)  (cost=1313 rows=6517) (actual time=0.0437..0.732 rows=6517 loops=1)
",
single_table_filters,Q025,25,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,33410,100.0,Using where; Using index,"-> Filter: (orders.O_TOTALPRICE between 30000 and 60000)  (cost=6728 rows=33410) (actual time=0.213..2.97 rows=17700 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_totalprice over (30000.00 <= O_TOTALPRICE <= 60000.00)  (cost=6728 rows=33410) (actual time=0.213..1.96 rows=17700 loops=1)
",
single_table_filters,Q026,26,1,1,SIMPLE,ORDERS,,range,idx_orders_totalprice,idx_orders_totalprice,7,,38162,100.0,Using where; Using index,"-> Filter: (orders.O_TOTALPRICE between 10000 and 50000)  (cost=7684 rows=38162) (actual time=0.238..3.32 rows=19884 loops=1)
    -> Covering index range scan on ORDERS using idx_orders_totalprice over (10000.00 <= O_TOTALPRICE <= 50000.00)  (cost=7684 rows=38162) (actual time=0.238..2.19 rows=19884 loops=1)
",
single_table_filters,Q027,27,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,33.33,Using where,"-> Filter: (lineitem.L_QUANTITY > 20.00)  (cost=60876 rows=198229) (actual time=0.641..310 rows=361278 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.636..274 rows=600572 loops=1)
",
single_table_filters,Q028,28,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,11.11,Using where,"-> Filter: (lineitem.L_QUANTITY between 10 and 30)  (cost=60876 rows=66076) (actual time=0.695..309 rows=252283 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.69..270 rows=600572 loops=1)
",
single_table_filters,Q029,29,1,1,SIMPLE,LINEITEM,,ALL,idx_lineitem_shipdate,,,,594745,50.0,Using where,"-> Filter: (lineitem.L_SHIPDATE > DATE'1996-01-01')  (cost=60876 rows=297372) (actual time=0.474..287 rows=250725 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.473..266 rows=600572 loops=1)
",
single_table_filters,Q030,30,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,33.33,Using where,"-> Filter: (lineitem.L_DISCOUNT > 0.05)  (cost=60876 rows=198229) (actual time=0.309..322 rows=273288 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.305..283 rows=600572 loops=1)
",
single_table_filters,Q031,31,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,33.33,Using where,"-> Filter: (lineitem.L_QUANTITY > 30.00)  (cost=60876 rows=198229) (actual time=0.369..304 rows=240612 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.365..270 rows=600572 loops=1)
",
single_table_filters,Q032,32,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,11.11,Using where,"-> Filter: (lineitem.L_QUANTITY between 5 and 15)  (cost=60876 rows=66076) (actual time=0.126..280 rows=131362 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.121..247 rows=600572 loops=1)
",
single_table_filters,Q033,33,1,1,SIMPLE,LINEITEM,,ref,idx_lineitem_partkey,idx_lineitem_partkey,4,const,27,100.0,Using index,"-> Covering index lookup on LINEITEM using idx_lineitem_partkey (L_PARTKEY = 500)  (cost=3.74 rows=27) (actual time=0.00358..0.00508 rows=27 loops=1)
",
single_table_filters,Q034,34,1,1,SIMPLE,LINEITEM,,ALL,idx_lineitem_shipdate,,,,594745,50.0,Using where,"-> Filter: (lineitem.L_SHIPDATE between '1995-01-01' and '1997-01-01')  (cost=60876 rows=297372) (actual time=0.122..327 rows=183002 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.121..249 rows=600572 loops=1)
",
single_table_filters,Q035,35,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,11.11,Using where,"-> Filter: (lineitem.L_DISCOUNT between 0.02 and 0.07)  (cost=60876 rows=66076) (actual time=0.376..314 rows=327713 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.373..277 rows=600572 loops=1)
",
single_table_filters,Q036,36,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,33.33,Using where,"-> Filter: (lineitem.L_QUANTITY >= 25.00)  (cost=60876 rows=198229) (actual time=0.513..111 rows=312936 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.51..83.5 rows=600572 loops=1)
",
single_table_filters,Q037,37,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,10.0,Using where,"-> Filter: (lineitem.L_RETURNFLAG = 'R')  (cost=60876 rows=59475) (actual time=0.126..274 rows=148301 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.122..249 rows=600572 loops=1)
",
single_table_filters,Q038,38,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,11.11,Using where,"-> Filter: ((lineitem.L_QUANTITY > 15.00) and (lineitem.L_DISCOUNT > 0.03))  (cost=60876 rows=66070) (actual time=0.626..305 rows=268133 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.622..257 rows=600572 loops=1)
",
single_table_filters,Q039,39,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,33.33,Using where,"-> Filter: (lineitem.L_QUANTITY < 10.00)  (cost=60876 rows=198229) (actual time=0.507..102 rows=107677 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.505..80.8 rows=600572 loops=1)
",
single_table_filters,Q040,40,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,33.33,Using where,"-> Filter: (lineitem.L_QUANTITY >= 35.00)  (cost=60876 rows=198229) (actual time=0.51..105 rows=192587 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.509..81.1 rows=600572 loops=1)
",
single_table_filters,Q041,41,1,1,SIMPLE,LINEITEM,,ALL,idx_lineitem_shipdate,,,,594745,29.99,Using where,"-> Filter: (lineitem.L_SHIPDATE between '1994-01-01' and '1995-01-01')  (cost=60876 rows=178392) (actual time=0.12..325 rows=92248 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.117..249 rows=600572 loops=1)
",
single_table_filters,Q042,42,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,33.33,Using where,"-> Filter: (lineitem.L_DISCOUNT < 0.02)  (cost=60876 rows=198229) (actual time=0.127..311 rows=108615 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.125..281 rows=600572 loops=1)
",
single_table_filters,Q043,43,1,1,SIMPLE,LINEITEM,,ALL,idx_lineitem_shipdate,,,,594745,16.66,Using where,"-> Filter: ((lineitem.L_QUANTITY > 20.00) and (lineitem.L_SHIPDATE > DATE'1996-01-01'))  (cost=60877 rows=99114) (actual time=0.123..288 rows=150949 loops=1)
    -> Table scan on LINEITEM  (cost=60877 rows=594745) (actual time=0.118..250 rows=600572 loops=1)
",
single_table_filters,Q044,44,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,33.33,Using where,"-> Filter: (lineitem.L_QUANTITY > 5.00)  (cost=60876 rows=198229) (actual time=0.509..109 rows=540816 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.508..81 rows=600572 loops=1)
",
single_table_filters,Q045,45,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,33.33,Using where,"-> Filter: (lineitem.L_QUANTITY > 10.00)  (cost=60876 rows=198229) (actual time=0.509..111 rows=480914 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.508..82.9 rows=600572 loops=1)
",
single_table_filters,Q046,46,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,33.33,Using where,"-> Filter: (lineitem.L_QUANTITY > 15.00)  (cost=60876 rows=198229) (actual time=0.521..109 rows=421316 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.52..81.6 rows=600572 loops=1)
",
single_table_filters,Q047,47,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,33.33,Using where,"-> Filter: (lineitem.L_QUANTITY > 25.00)  (cost=60876 rows=198229) (actual time=0.508..108 rows=300774 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.506..81.1 rows=600572 loops=1)
",
single_table_filters,Q048,48,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,33.33,Using where,"-> Filter: (lineitem.L_QUANTITY > 35.00)  (cost=60876 rows=198229) (actual time=0.514..104 rows=180485 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.512..80.2 rows=600572 loops=1)
",
single_table_filters,Q049,49,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,11.11,Using where,"-> Filter: (lineitem.L_QUANTITY between 1 and 10)  (cost=60876 rows=66076) (actual time=0.505..107 rows=119658 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.504..79.6 rows=600572 loops=1)
",
single_table_filters,Q050,50,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,11.11,Using where,"-> Filter: (lineitem.L_QUANTITY between 10 and 20)  (cost=60876 rows=66076) (actual time=0.56..109 rows=131617 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.559..80.4 rows=600572 loops=1)
",
single_table_filters,Q051,51,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,11.11,Using where,"-> Filter: (lineitem.L_QUANTITY between 20 and 40)  (cost=60876 rows=66076) (actual time=0.511..114 rows=252729 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.509..82.1 rows=600572 loops=1)
",
single_table_filters,Q052,52,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,11.11,Using where,"-> Filter: (lineitem.L_QUANTITY between 30 and 50)  (cost=60876 rows=66076) (actual time=0.509..110 rows=252512 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.508..80.4 rows=600572 loops=1)
",
single_table_filters,Q053,53,1,1,SIMPLE,LINEITEM,,ALL,,,,,594745,33.33,Using where,"-> Filter: (lineitem.L_DISCOUNT > 0.08)  (cost=60876 rows=198229) (actual time=0.317..102 rows=109477 loops=1)
    -> Table scan on LINEITEM  (cost=60876 rows=594745) (actual time=0.316..79.9 rows=600572 loops=1)
",
single_table_filters,Q054,54,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,33.33,Using where,"-> Filter: (customer.C_ACCTBAL > 1000.00)  (cost=1545 rows=4964) (actual time=0.0378..5.34 rows=12271 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0366..4.44 rows=15000 loops=1)
",
single_table_filters,Q055,55,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,33.33,Using where,"-> Filter: (customer.C_ACCTBAL > 500.00)  (cost=1545 rows=4964) (actual time=0.0355..5.18 rows=12951 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0347..4.33 rows=15000 loops=1)
",
single_table_filters,Q056,56,1,1,SIMPLE,CUSTOMER,,ref,idx_customer_nationkey,idx_customer_nationkey,4,const,630,100.0,,"-> Index lookup on CUSTOMER using idx_customer_nationkey (C_NATIONKEY = 10)  (cost=220 rows=630) (actual time=0.0503..0.586 rows=630 loops=1)
",
single_table_filters,Q057,57,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,11.11,Using where,"-> Filter: (customer.C_ACCTBAL between 200 and 800)  (cost=1545 rows=1655) (actual time=0.0347..5.06 rows=815 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0337..4.32 rows=15000 loops=1)
",
single_table_filters,Q058,58,1,1,SIMPLE,CUSTOMER,,ALL,idx_customer_nationkey,,,,14892,40.58,Using where,"-> Filter: (customer.C_NATIONKEY between 1 and 10)  (cost=1545 rows=6043) (actual time=0.0313..4.81 rows=6043 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0305..4.11 rows=15000 loops=1)
",
single_table_filters,Q059,59,1,1,SIMPLE,CUSTOMER,,ref,idx_customer_nationkey,idx_customer_nationkey,4,const,616,100.0,,"-> Index lookup on CUSTOMER using idx_customer_nationkey (C_NATIONKEY = 5)  (cost=216 rows=616) (actual time=0.0883..0.508 rows=616 loops=1)
",
single_table_filters,Q060,60,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,10.0,Using where,"-> Filter: (customer.C_MKTSEGMENT = 'BUILDING')  (cost=1545 rows=1489) (actual time=0.0456..5.13 rows=3111 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0413..4.38 rows=15000 loops=1)
",
single_table_filters,Q061,61,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,33.33,Using where,"-> Filter: (customer.C_ACCTBAL < 300.00)  (cost=1545 rows=4964) (actual time=0.0418..2.71 rows=1789 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0406..2.1 rows=15000 loops=1)
",
single_table_filters,Q062,62,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,33.33,Using where,"-> Filter: (customer.C_ACCTBAL >= 1200.00)  (cost=1545 rows=4964) (actual time=0.0342..2.56 rows=11996 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.033..1.81 rows=15000 loops=1)
",
single_table_filters,Q063,63,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,33.33,Using where,"-> Filter: (customer.C_ACCTBAL < 200.00)  (cost=1545 rows=4964) (actual time=0.033..4.82 rows=1653 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0322..4.17 rows=15000 loops=1)
",
single_table_filters,Q064,64,1,1,SIMPLE,CUSTOMER,,ref,idx_customer_nationkey,idx_customer_nationkey,4,const,621,100.0,,"-> Index lookup on CUSTOMER using idx_customer_nationkey (C_NATIONKEY = 3)  (cost=217 rows=621) (actual time=0.0505..0.485 rows=621 loops=1)
",
single_table_filters,Q065,65,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,11.11,Using where,"-> Filter: (customer.C_ACCTBAL between 400 and 900)  (cost=1545 rows=1655) (actual time=0.0411..2.96 rows=688 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0403..2.23 rows=15000 loops=1)
",
single_table_filters,Q066,66,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,11.11,Using where,"-> Filter: (customer.C_NAME like 'Customer#000%')  (cost=1545 rows=1655) (actual time=0.0976..2.94 rows=15000 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0969..1.81 rows=15000 loops=1)
",
single_table_filters,Q067,67,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,33.33,Using where,"-> Filter: (customer.C_ACCTBAL > 100.00)  (cost=1545 rows=4964) (actual time=0.0384..2.57 rows=13468 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0373..1.82 rows=15000 loops=1)
",
single_table_filters,Q068,68,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,33.33,Using where,"-> Filter: (customer.C_ACCTBAL > 300.00)  (cost=1545 rows=4964) (actual time=0.0327..2.54 rows=13211 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0321..1.8 rows=15000 loops=1)
",
single_table_filters,Q069,69,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,33.33,Using where,"-> Filter: (customer.C_ACCTBAL > 700.00)  (cost=1545 rows=4964) (actual time=0.0325..2.52 rows=12677 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.032..1.78 rows=15000 loops=1)
",
single_table_filters,Q070,70,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,33.33,Using where,"-> Filter: (customer.C_ACCTBAL > 1500.00)  (cost=1545 rows=4964) (actual time=0.034..2.74 rows=11587 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0333..2.01 rows=15000 loops=1)
",
single_table_filters,Q071,71,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,33.33,Using where,"-> Filter: (customer.C_ACCTBAL > 2000.00)  (cost=1545 rows=4964) (actual time=0.0388..2.56 rows=10894 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0378..1.81 rows=15000 loops=1)
",
single_table_filters,Q072,72,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,11.11,Using where,"-> Filter: (customer.C_ACCTBAL between 100 and 500)  (cost=1545 rows=1655) (actual time=0.0385..2.65 rows=517 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0373..1.96 rows=15000 loops=1)
",
single_table_filters,Q073,73,1,1,SIMPLE,CUSTOMER,,ALL,,,,,14892,11.11,Using where,"-> Filter: (customer.C_ACCTBAL between 500 and 1000)  (cost=1545 rows=1655) (actual time=0.0453..2.85 rows=680 loops=1)
    -> Table scan on CUSTOMER  (cost=1545 rows=14892) (actual time=0.0445..2.16 rows=15000 loops=1)
",
