has_seq_scan,seq_scan_count,has_index_scan,has_index_only_scan,has_bitmap_scan,max_scan_cost,has_nested_loop,has_hash_join,has_merge_join,num_join_nodes,total_rows_estimated,max_rows_estimated,log_total_rows,total_startup_cost,total_run_cost,max_node_cost,has_filter,has_sort,has_aggregate,has_hash,index_coverage_ratio,num_index_scans,num_total_scans,has_no_index,plan_depth,num_nodes,has_subquery,has_cte,num_tables_accessed,max_width,query_id,category
1,1,0,0,0,1484643.54,0,0,0,0,6144945,6144941,6.788518070785521,4452930.15,5890486.63,1484643.54,1,0,1,0,0.0,0,1,1,10,6,0,0,1,32,AGG_Q022,aggregation
1,1,0,0,0,18.86,0,0,0,0,341,170,2.534026106056135,36.85,48.98,18.86,0,1,1,0,0.0,0,1,1,4,4,0,0,1,8,AGG_Q023,aggregation
1,1,0,0,0,52406.86,0,0,0,0,833175,833171,5.920736751412909,156220.13,205544.07,52406.86,0,0,1,0,0.0,0,1,1,7,5,0,0,1,32,AGG_Q024,aggregation
0,0,1,1,0,1274818.61,0,0,0,0,24992984,24992980,7.397818128539833,3823455.94,5034791.55,1274818.61,0,0,1,0,1.0,1,1,0,7,5,0,0,0,8,AGG_Q025,aggregation
1,1,0,0,0,343612.37,0,0,0,0,1283645,1283641,6.108445271829677,1029836.64,1369239.9,343612.37,1,0,1,0,0.0,0,1,1,10,6,0,0,1,32,AGG_Q026,aggregation
1,1,0,0,0,53664.74,0,0,0,0,503156,503152,5.701703519041602,159993.77,211400.64,53664.74,1,0,1,0,0.0,0,1,1,10,6,0,0,1,8,AGG_Q027,aggregation
1,1,0,0,0,3514.01,0,0,0,0,100001,100000,5.00000868580278,3514.0,6778.01,3514.01,0,0,1,0,0.0,0,1,1,1,2,0,0,1,32,AGG_Q028,aggregation
1,1,0,0,0,1501038.93,0,0,0,0,24992984,24992980,7.397818128539833,4502116.32,5877190.35,1501038.93,0,0,1,0,0.0,0,1,1,7,5,0,0,1,64,AGG_Q029,aggregation
1,1,0,0,0,12.13,0,0,0,0,171,170,2.2355284469075487,12.12,23.83,12.13,0,0,1,0,0.0,0,1,1,1,2,0,0,1,8,AGG_Q030,aggregation
1,1,0,0,0,1155988.72,0,0,0,0,11448300,6250482,7.058741039420531,4330499.58,5137731.87,1155988.72,0,1,1,1,0.0,0,1,1,13,12,0,0,1,12,AGG_Q031,aggregation
1,1,0,0,0,3564807.24,0,0,0,0,27527614,24992980,7.439768585632026,16871495.81,18706803.42,3564807.24,0,1,1,1,0.0,0,1,1,13,12,0,0,1,36,AGG_Q032,aggregation
1,1,0,0,0,46367.36,0,0,0,0,625169,625019,5.795998129380644,229807.16,272054.14,46367.36,0,1,1,1,0.0,0,1,1,13,11,0,0,1,36,AGG_Q033,aggregation
1,1,0,0,0,54491.03,0,0,0,0,833201,833171,5.92075030374801,270449.64999999997,319775.85,54491.03,0,1,1,1,0.0,0,1,1,13,11,0,0,1,34,AGG_Q034,aggregation
1,1,0,0,0,465146.18,0,0,0,0,3920165,3333791,6.593304457672902,2155948.1799999997,2439417.9,465146.18,0,1,1,1,0.0,0,1,1,13,11,0,0,1,12,AGG_Q035,aggregation
1,1,0,0,0,684998.21,0,0,0,0,5991227,3333791,6.777515847258155,2648981.14,3116566.26,684998.21,0,1,1,1,0.0,0,1,1,13,12,0,0,1,36,AGG_Q036,aggregation
1,1,0,0,0,356030.7,0,0,0,0,6250512,6250482,6.795915662772281,1778148.0100000002,2101927.34,356030.7,0,1,1,1,0.0,0,1,1,13,11,0,0,1,24,AGG_Q037,aggregation
1,1,0,0,0,1501040.85,0,0,0,0,24993022,24992980,7.397818788852227,7503196.24,8878273.62,1501040.85,0,1,1,1,0.0,0,1,1,13,11,0,0,1,43,AGG_Q038,aggregation
1,1,0,0,0,1501040.85,0,0,0,0,24993022,24992980,7.397818788852227,7503196.24,8878273.62,1501040.85,0,1,1,1,0.0,0,1,1,13,11,0,0,1,43,AGG_Q039,aggregation
1,1,0,0,0,1626004.47,0,0,0,0,24992995,24992980,7.397818319682998,6502014.640000001,7877089.97,1626004.47,0,1,1,1,0.0,0,1,1,10,9,0,0,1,34,AGG_Q040,aggregation
1,1,0,0,0,3764.89,0,0,0,0,100050,100000,5.0002214337249695,7528.83,10793.14,3764.89,0,1,1,1,0.0,0,1,1,4,5,0,0,1,12,AGG_Q041,aggregation
1,1,0,0,0,54541.81,0,0,0,0,834071,833171,5.921203542068224,270521.61,319922.09,54541.81,0,1,1,1,0.0,0,1,1,13,11,0,0,1,53,AGG_Q042,aggregation
1,1,0,0,0,372460.3,0,0,0,0,6262512,6250482,6.7967486404038295,1485135.46,1825775.65,372460.3,0,1,1,1,0.0,0,1,1,10,9,0,0,1,64,AGG_Q043,aggregation
1,1,0,0,0,1501039.26,0,0,0,0,24992990,24992980,7.397818232799752,6002154.930000001,7377229.73,1501039.26,0,1,1,1,0.0,0,1,1,10,9,0,0,1,10,AGG_Q044,aggregation
1,1,0,0,0,372460.3,0,0,0,0,6262512,6250482,6.7967486404038295,1485135.46,1825775.65,372460.3,0,1,1,1,0.0,0,1,1,10,9,0,0,1,64,AGG_Q045,aggregation
1,1,0,0,0,642415.25,0,0,0,0,5548321,3333791,6.744161657658126,2013271.3000000003,2477534.63,642415.25,0,1,1,1,0.0,0,1,1,10,10,0,0,1,68,AGG_Q046,aggregation
1,1,0,0,0,4367892.99,0,0,0,0,36574462,24992980,7.563177958369492,17995678.84,20602530.64,4367892.99,0,1,1,1,0.0,0,1,1,13,12,0,0,1,36,AGG_Q047,aggregation
1,1,0,0,0,46360.75,0,0,0,0,625049,625019,5.795914759512959,229798.23,272034.93,46360.75,0,1,1,1,0.0,0,1,1,13,11,0,0,1,19,AGG_Q048,aggregation
1,1,0,0,0,46360.8,0,0,0,0,625049,625019,5.795914759512959,229798.33,272035.08,46360.8,0,1,1,1,0.0,0,1,1,13,11,0,0,1,43,AGG_Q049,aggregation
1,1,0,0,0,3396256.26,0,0,0,0,25597306,24992980,7.408194277164977,16571976.940000001,18242661.65,3396256.26,0,1,1,1,0.0,0,1,1,13,12,0,0,1,36,AGG_Q050,aggregation
1,1,0,0,0,54497.39,0,0,0,0,833321,833171,5.920812847507257,270458.12,319794.37,54497.39,0,1,1,1,0.0,0,1,1,13,11,0,0,1,19,AGG_Q051,aggregation
1,1,0,0,0,54497.46,0,0,0,0,833321,833171,5.920812847507257,270458.18,319794.5,54497.46,0,1,1,1,0.0,0,1,1,13,11,0,0,1,43,AGG_Q052,aggregation
1,1,0,0,0,388074.47,0,0,0,0,6262512,6250482,6.7967486404038295,1547640.27,1903894.64,388074.47,0,1,1,1,0.0,0,1,1,10,9,0,0,1,40,AGG_Q053,aggregation
1,1,0,0,0,3502324.79,0,0,0,0,27527614,24992980,7.439768585632026,16559083.559999999,18394391.17,3502324.79,0,1,1,1,0.0,0,1,1,13,12,0,0,1,36,AGG_Q054,aggregation
1,1,0,0,0,3271291.36,0,0,0,0,25597306,24992980,7.408194277164977,15947152.44,17617837.15,3271291.36,0,1,1,1,0.0,0,1,1,13,12,0,0,1,36,AGG_Q055,aggregation
1,1,0,0,0,54502.35,0,0,0,0,833411,833171,5.920859749416511,270464.94,319808.73,54502.35,0,1,1,1,0.0,0,1,1,13,11,0,0,1,19,AGG_Q056,aggregation
1,1,0,0,0,356030.75,0,0,0,0,6250512,6250482,6.795915662772281,1778148.0999999999,2101927.48,356030.75,0,1,1,1,0.0,0,1,1,13,11,0,0,1,48,AGG_Q057,aggregation
1,1,0,0,0,3020703.08,0,0,0,0,25597306,24992980,7.408194277164977,14760071.379999999,16380934.48,3020703.08,0,1,1,1,0.0,0,1,1,13,11,0,0,1,12,AGG_Q058,aggregation
1,1,0,0,0,1026780.06,0,0,0,0,9715694,6250482,6.9874738727555625,2356313.9299999997,2990540.21,1026780.06,0,0,1,1,0.0,0,1,1,7,9,0,0,1,8,AGG_Q059,aggregation
1,1,0,0,0,1026780.06,0,0,0,0,9715694,6250482,6.9874738727555625,2356313.9299999997,2990540.21,1026780.06,0,0,1,1,0.0,0,1,1,7,9,0,0,1,8,AGG_Q060,aggregation
1,2,0,0,0,1218314.33,0,1,0,1,14051752,6250482,7.14773050721166,4783399.19,5709804.37,1218314.33,0,1,1,1,0.0,0,2,1,16,14,0,0,2,68,AGG_Q061,aggregation
1,1,0,0,0,1491131.57,0,0,0,0,13751062,6250482,7.138336271780108,4098387.88,5251769.92,1491131.57,0,1,1,1,0.0,0,1,1,10,10,0,0,1,28,AGG_Q062,aggregation
1,1,0,0,0,1688492.38,0,0,0,0,24993085,24992980,7.3978198835784585,6751946.42,8127031.02,1688492.38,0,1,1,1,0.0,0,1,1,10,9,0,0,1,45,AGG_Q063,aggregation
1,1,0,0,0,889223.82,0,0,0,0,8134451,3333791,6.910328300801772,3039080.7800000003,3693447.49,889223.82,0,1,1,1,0.0,0,1,1,13,12,0,0,1,40,AGG_Q064,aggregation
1,1,0,0,0,56890.69,0,0,0,0,838171,833171,5.923333148685127,224469.49,274297.4,56890.69,0,1,1,1,0.0,0,1,1,10,9,0,0,1,30,AGG_Q065,aggregation
1,2,0,0,0,2072423.54,0,1,0,1,51674802,24992980,7.71327882964038,10470495.13,13588094.77,2072423.54,0,1,1,1,0.0,0,2,1,19,15,0,0,2,64,AGG_Q066,aggregation
1,2,0,0,0,512775.84,0,1,0,1,13811152,6250482,7.140229936408848,2130918.69,2910749.95,512775.84,0,1,1,1,0.0,0,2,1,16,13,0,0,2,51,AGG_Q067,aggregation
1,1,0,0,0,1563525.34,0,0,0,0,24993050,24992980,7.39781927539756,6252085.98,7627166.97,1563525.34,0,1,1,1,0.0,0,1,1,10,9,0,0,1,45,AGG_Q068,aggregation
1,3,0,0,0,523627.77,0,1,0,2,20006924,6250482,7.301180344100769,2764686.4600000004,3957739.68,523627.77,0,1,1,1,0.0,0,3,1,22,19,0,0,3,147,AGG_Q069,aggregation
1,1,0,0,0,3814238.27,0,0,0,0,28518215,24992980,7.455122354083438,14113332.04,16143826.97,3814238.27,0,1,1,1,0.0,0,1,1,10,10,0,0,1,47,AGG_Q070,aggregation
1,1,0,0,0,391385.36,0,0,0,0,6310632,6250482,6.800072924159979,1550023.6400000001,1895552.33,391385.36,0,1,1,1,0.0,0,1,1,10,9,0,0,1,56,AGG_Q071,aggregation
1,1,0,0,0,47961.0,0,0,0,0,625644,625019,5.796327978141365,189705.12,232003.58,47961.0,0,1,1,1,0.0,0,1,1,10,9,0,0,1,47,AGG_Q072,aggregation
1,4,0,0,0,2181296.72,0,1,0,3,28297746,6250482,7.4517518593964365,8116175.1400000015,10228014.89,2181296.72,0,1,1,1,0.0,0,4,1,22,22,0,0,4,168,AGG_Q073,aggregation
1,1,0,0,0,56610.41,0,0,0,0,833796,833171,5.921060328202381,224306.82,273693.56,56610.41,0,1,1,1,0.0,0,1,1,10,9,0,0,1,45,AGG_Q074,aggregation
1,2,0,0,0,2404586.53,0,1,0,1,62571134,24992980,7.796374032870541,10353037.66,13838389.48,2404586.53,0,1,1,1,0.0,0,2,1,16,13,0,0,2,75,AGG_Q075,aggregation
1,4,0,0,0,1124050.48,0,1,0,3,15272494,3333791,7.183909991622167,5634745.38,6806165.21,1124050.48,0,1,1,1,0.0,0,4,1,25,24,0,0,4,157,AGG_Q076,aggregation
1,3,0,0,0,2912370.67,0,1,0,2,88730017,24992980,7.948070569621048,12919223.869999997,18537831.94,2912370.67,0,1,1,1,0.0,0,3,1,19,17,0,0,3,45,AGG_Q077,aggregation
1,2,0,0,0,1989947.46,0,1,0,1,51653177,24992980,7.713097046967045,8070726.029999999,11232851.04,1989947.46,0,1,1,1,0.0,0,2,1,16,13,0,0,2,54,AGG_Q078,aggregation
1,1,0,0,0,1728142.94,0,0,0,0,13751062,6250482,7.138336271780108,4960293.02,6173425.73,1728142.94,0,1,1,1,0.0,0,1,1,10,10,0,0,1,56,AGG_Q079,aggregation
1,1,0,0,0,5862732.86,0,0,0,0,53946685,24992980,7.731964770684926,16007468.62,20604209.16,5862732.86,0,1,1,1,0.0,0,1,1,10,10,0,0,1,38,AGG_Q080,aggregation
1,5,0,0,0,375327.55,0,1,0,4,18474875,3333791,7.266581532171249,1812714.28,3143744.24,375327.55,0,1,1,1,0.0,0,5,1,25,25,0,0,5,147,AGG_Q081,aggregation
1,1,0,0,0,1816111.44,0,0,0,0,25030690,24992980,7.398472838954795,7253657.0,8757649.2,1816111.44,0,1,1,1,0.0,0,1,1,10,9,0,0,1,66,AGG_Q082,aggregation
1,1,0,0,0,57218.87,0,0,0,0,843171,833171,5.925916176085503,224678.97999999998,275011.09,57218.87,0,1,1,1,0.0,0,1,1,10,9,0,0,1,23,AGG_Q083,aggregation
1,6,0,0,0,11129505.34,0,1,0,5,144542472,24992980,8.159995480858436,56280061.69000001,67896058.38,11129505.34,0,1,1,1,0.0,0,6,1,31,32,0,0,5,240,AGG_Q084,aggregation
1,1,0,0,0,59142.86,0,0,0,0,870671,833171,5.939854578178331,226019.44,279199.64,59142.86,0,1,1,1,0.0,0,1,1,10,9,0,0,1,57,AGG_Q085,aggregation
1,2,0,0,0,517469.24,0,1,0,1,13751127,6250482,7.1383383246450105,2163183.36,2945691.36,517469.24,0,1,1,1,0.0,0,2,1,16,13,0,0,2,35,AGG_Q086,aggregation
1,5,0,0,0,2950774.0,0,1,0,4,138721682,24992980,8.142144349114107,16983071.099999998,26703304.16,2950774.0,0,1,1,1,0.0,0,5,1,28,28,0,0,5,147,AGG_Q087,aggregation
1,3,0,0,0,51590.62,0,1,0,2,1879987,625019,6.274155077162395,203471.44000000003,335679.22,51590.62,0,1,1,1,0.0,0,3,1,19,17,0,0,3,147,AGG_Q088,aggregation
1,1,0,0,0,1694713.39,0,0,0,0,25080970,24992980,7.399344346025459,6756458.96,8203152.07,1694713.39,0,1,1,1,0.0,0,1,1,10,9,0,0,1,75,AGG_Q089,aggregation
1,1,0,0,0,1628550.96,0,0,0,0,25030690,24992980,7.398472838954795,6503754.470000001,7945151.09,1628550.96,0,1,1,1,0.0,0,1,1,10,9,0,0,1,42,AGG_Q090,aggregation
1,1,0,0,0,1087594.23,0,0,0,0,10293230,6250482,7.012551719292848,4263548.93,5071503.14,1087594.23,1,1,1,1,0.0,0,1,1,13,13,0,0,1,12,AGG_Q091,aggregation
1,1,0,0,0,459569.42,0,0,0,0,3789859,3333791,6.5786231671315365,2150534.3,2434085.46,459569.42,1,1,1,1,0.0,0,1,1,13,12,0,0,1,12,AGG_Q092,aggregation
1,1,0,0,0,648431.36,0,0,0,0,5400685,3333791,6.732448927803037,2613152.46,3081106.68,648431.36,1,1,1,1,0.0,0,1,1,13,13,0,0,1,36,AGG_Q093,aggregation
1,1,0,0,0,1501040.77,0,0,0,0,24993012,24992980,7.397818615085905,7503196.17,8878273.55,1501040.77,1,1,1,1,0.0,0,1,1,13,12,0,0,1,43,AGG_Q094,aggregation
1,1,0,0,0,46366.67,0,0,0,0,625135,625019,5.795974509542959,229806.31999999998,272053.07,46366.67,1,1,1,1,0.0,0,1,1,13,12,0,0,1,12,AGG_Q095,aggregation
1,1,0,0,0,3530027.68,0,0,0,0,26964362,24992980,7.430790165070959,16837420.32,18673079.96,3530027.68,1,1,1,1,0.0,0,1,1,13,13,0,0,1,36,AGG_Q096,aggregation
1,1,0,0,0,54490.99,0,0,0,0,833195,833171,5.920747176323599,270449.61,319775.82,54490.99,1,1,1,1,0.0,0,1,1,13,12,0,0,1,34,AGG_Q097,aggregation
1,1,0,0,0,1169141.12,0,0,0,0,10293230,6250482,7.012551719292848,4610193.57,5439018.78,1169141.12,1,1,1,1,0.0,0,1,1,13,13,0,0,1,36,AGG_Q098,aggregation
1,2,0,0,0,713505.88,0,0,0,0,7123654,3333791,6.852702878334106,3189126.02,3688559.92,713505.88,1,1,1,1,0.0,0,2,1,13,19,1,0,1,36,AGG_Q099,aggregation
1,1,0,0,0,228496.2,0,0,0,0,139480,69740,5.144515052361274,439718.56999999995,664671.04,228496.2,1,1,0,0,0.0,0,1,1,7,6,0,0,1,12,AGG_Q100,aggregation
1,1,0,0,0,46366.92,0,0,0,0,625135,625019,5.795974509542959,229806.75999999998,272053.76,46366.92,1,1,1,1,0.0,0,1,1,13,12,0,0,1,36,AGG_Q101,aggregation
1,1,0,0,0,1501040.77,0,0,0,0,24993012,24992980,7.397818615085905,7503196.17,8878273.55,1501040.77,1,1,1,1,0.0,0,1,1,13,12,0,0,1,43,AGG_Q102,aggregation
1,1,0,0,0,353605.68,0,0,0,0,3999236,1999610,6.60197714175351,1030821.98,1111806.5,353605.68,1,1,1,0,0.0,0,1,1,7,8,0,0,1,19,AGG_Q103,aggregation
1,1,0,0,0,359549.72,0,0,0,0,6297074,6250482,6.799138865906822,1783947.54,2112741.65,359549.72,1,1,1,1,0.0,0,1,1,13,12,0,0,1,24,AGG_Q104,aggregation
1,1,0,0,0,54536.42,0,0,0,0,833871,833171,5.921099391213283,270515.36,319914.45,54536.42,1,1,1,1,0.0,0,1,1,13,12,0,0,1,53,AGG_Q105,aggregation
1,1,0,0,0,3387739.71,0,0,0,0,25463012,24992980,7.405909791770613,16563628.26,18234396.9,3387739.71,1,1,1,1,0.0,0,1,1,13,13,0,0,1,36,AGG_Q106,aggregation
1,1,0,0,0,372462.3,0,0,0,0,6260908,6250482,6.796637391521092,1485135.46,1825777.65,372462.3,1,1,1,1,0.0,0,1,1,10,10,0,0,1,64,AGG_Q107,aggregation
1,1,0,0,0,3764.45,0,0,0,0,100016,100000,5.000073823787079,7528.43,10792.76,3764.45,1,1,1,1,0.0,0,1,1,4,6,0,0,1,12,AGG_Q108,aggregation
1,2,0,0,0,91157.73,0,0,0,0,1250066,625019,6.096933290568454,407985.69999999995,492456.88,91157.73,1,1,1,1,0.0,0,2,1,13,18,1,0,1,43,AGG_Q109,aggregation
1,1,0,0,0,3766359.93,0,0,0,0,32070553,24992980,7.506106462175552,12957460.6,15211140.8,3766359.93,1,1,1,1,0.0,0,1,1,10,12,0,0,1,12,AGG_Q110,aggregation
0,0,1,1,0,1408209.0,0,0,0,0,16067348,8001098,7.205944227127643,4097039.79,4386627.73,1408209.0,1,1,1,0,1.0,1,1,0,7,8,0,0,0,12,AGG_Q111,aggregation
1,1,0,0,0,356030.71,0,0,0,0,6250506,6250482,6.795915245883597,1778148.07,2101927.46,356030.71,1,1,1,1,0.0,0,1,1,13,12,0,0,1,48,AGG_Q112,aggregation
1,1,0,0,0,2802195.29,0,0,0,0,30579852,15001158,7.485435393390158,8020488.17,8630836.92,2802195.29,1,1,1,0,0.0,0,1,1,7,8,0,0,1,12,AGG_Q113,aggregation
1,1,0,0,0,54501.66,0,0,0,0,833357,833171,5.920831608878787,270464.31999999995,319808.24,54501.66,1,1,1,1,0.0,0,1,1,13,12,0,0,1,43,AGG_Q114,aggregation
1,1,0,0,0,1563522.04,0,0,0,0,24992994,24992980,7.39781830230635,7815606.880000001,9190682.22,1563522.04,1,1,1,1,0.0,0,1,1,13,12,0,0,1,34,AGG_Q115,aggregation
1,1,0,0,0,494799.97,0,0,0,0,3789859,3333791,6.5786231671315365,2317501.74,2607564.22,494799.97,1,1,1,1,0.0,0,1,1,13,13,0,0,1,36,AGG_Q116,aggregation
1,2,0,0,0,2997550.59,0,1,0,1,48003580,15001158,7.681273636344963,8819207.149999999,10042709.71,2997550.59,1,1,1,1,0.0,0,2,1,13,12,0,0,2,20,AGG_Q117,aggregation
1,1,0,0,0,54497.14,0,0,0,0,833273,833171,5.920787831084397,270458.12,319794.69,54497.14,1,1,1,1,0.0,0,1,1,13,12,0,0,1,43,AGG_Q118,aggregation
1,1,0,0,0,1469549.54,0,0,0,0,6198291,6198259,6.792272031890612,7345740.2700000005,8783300.03,1469549.54,1,1,1,1,0.0,0,1,1,16,13,0,0,1,19,AGG_Q119,aggregation
1,2,0,0,0,2154169.73,0,0,0,0,20875228,6250482,7.3196312483659804,9571210.780000001,11186397.29,2154169.73,1,1,1,1,0.0,0,2,1,17,25,1,0,1,32,AGG_Q121,aggregation
1,2,0,0,0,132015330096.83,0,0,0,0,1346406,666537,6.129176360880328,132015394450.94,264030710110.18,132015330096.83,1,1,1,0,0.0,0,2,1,11,8,1,0,1,32,AGG_Q122,aggregation
1,1,1,0,0,309140223.2,0,0,0,0,5334085,2667033,6.727060013420665,309133594.6,617898031.72,309140223.2,1,1,1,0,0.5,1,2,0,11,8,1,0,1,32,AGG_Q123,aggregation
1,1,0,0,0,1153053.09,0,0,0,0,11448310,6250482,7.058741418773146,5743549.03,6571652.36,1153053.09,0,1,1,1,0.0,0,1,1,16,13,0,0,1,36,AGG_Q124,aggregation
1,5,0,0,0,4381873.45,0,1,0,3,138717266,24992980,8.142130523770318,22092614.790000003,31027872.02,4381873.45,0,1,1,1,0.0,0,5,1,25,29,1,0,4,168,AGG_Q125,aggregation
1,2,0,0,0,71470086735.46,0,0,0,0,35644020,24992980,7.551986690864505,16020565.61,71484886104.36,71470086735.46,1,0,1,1,0.0,0,2,1,14,13,1,0,2,37,AGG_Q126,aggregation
1,2,0,0,0,24061976320.59,0,0,0,0,11332019,6250482,7.054307332339926,4274350.449999999,24065930188.52,24061976320.59,1,0,1,1,0.0,0,2,1,14,13,1,0,2,23,AGG_Q127,aggregation
1,2,0,0,0,1905553.53,0,1,0,1,37334321,15001158,7.572108268846748,5589899.69,6817166.29,1905553.53,0,1,1,1,0.0,0,2,1,13,12,0,0,2,43,AGG_Q128,aggregation
1,4,0,0,0,2818360.49,0,1,0,3,113724622,24992980,8.055854505807194,21476239.73,29036425.49,2818360.49,0,1,1,1,0.0,0,4,1,31,26,0,0,4,144,AGG_Q129,aggregation
1,3,0,0,0,3391884.79,0,1,0,2,39456721,8001098,7.59612100193883,5259800.510000001,10122881.76,3391884.79,0,1,1,1,0.0,0,3,1,22,20,0,0,3,162,AGG_Q130,aggregation
1,1,0,0,0,372502.4,0,0,0,0,6264918,6250482,6.796915460313338,1856962.14,2198278.05,372502.4,0,1,1,1,0.0,0,1,1,13,10,0,0,1,128,AGG_Q131,aggregation
1,2,0,0,0,6288423.63,0,1,0,1,67649182,24992980,7.830262555985611,37283976.52,44337776.75,6288423.63,0,1,1,1,0.0,0,2,1,25,20,0,0,2,84,AGG_Q132,aggregation
1,1,0,0,0,391656.03,0,0,0,0,6322662,6250482,6.800900034392567,1938270.98,2287208.36,391656.03,0,1,1,1,0.0,0,1,1,13,10,0,0,1,88,AGG_Q133,aggregation
1,1,1,1,0,15464403.21,0,1,0,1,222442196,59983152,8.347217175832416,36288137.870000005,62152898.3,15464403.21,0,1,1,1,0.5,1,2,0,19,15,0,0,1,64,AGG_Q134,aggregation
1,6,0,0,0,4892501.59,0,1,0,4,137744965,24992980,8.139075736174492,18295493.269999992,24367868.22,4892501.59,1,1,1,1,0.0,0,6,1,22,32,1,0,5,136,AGG_Q135,aggregation
0,0,1,0,0,309095725.64,0,0,0,0,40024,40005,4.602331340591338,39.4,309095802.69,309095725.64,1,0,1,0,1.0,2,2,0,8,6,1,0,0,12,AGG_Q136,aggregation
